Store,Date,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2013-01-01,2,5916.02,650,1,0,a,1
1,2013-01-02,3,4619.54,619,1,0,0,1
1,2013-01-03,4,6654.23,784,1,0,0,1
1,2013-01-04,5,8975.39,983,1,0,0,1
1,2013-01-05,6,10329.79,1164,1,0,0,1
1,2013-01-06,7,0.0,0,0,0,0,0
1,2013-01-07,1,8801.33,1138,1,1,0,0
1,2013-01-08,2,7571.88,906,1,1,0,0
1,2013-01-09,3,8468.59,1011,1,1,0,0
1,2013-01-10,4,7263.62,813,1,1,0,0
1,2013-01-11,5,9247.39,1045,1,1,0,0
1,2013-01-12,6,9615.46,1188,1,1,0,0
1,2013-01-13,7,0.0,0,0,1,0,0
1,2013-01-14,1,7768.3,826,1,0,0,0
1,2013-01-15,2,5603.04,714,1,0,0,0
1,2013-01-16,3,6878.12,769,1,0,0,0
1,2013-01-17,4,6696.8,779,1,0,0,0
1,2013-01-18,5,8368.86,964,1,0,0,0
1,2013-01-19,6,8568.93,981,1,0,0,0
1,2013-01-20,7,0.0,0,0,0,0,0
1,2013-01-21,1,6938.9,841,1,1,0,0
1,2013-01-22,2,6971.14,841,1,1,0,0
1,2013-01-23,3,6338.45,683,1,1,0,0
1,2013-01-24,4,7281.22,843,1,1,0,0
1,2013-01-25,5,9551.85,1045,1,1,0,0
1,2013-01-26,6,9558.4,1040,1,1,0,0
1,2013-01-27,7,0.0,0,0,1,0,0
1,2013-01-28,1,5838.8,768,1,0,0,0
1,2013-01-29,2,6967.1,808,1,0,0,0
1,2013-01-30,3,5684.2,658,1,0,0,0
1,2013-01-31,4,6144.47,693,1,0,0,0
1,2013-02-01,5,7296.69,890,1,0,0,0
1,2013-02-02,6,9209.21,1133,1,0,0,0
1,2013-02-03,7,0.0,0,0,0,0,0
1,2013-02-04,1,9126.19,1030,1,1,0,0
1,2013-02-05,2,7712.91,945,1,1,0,0
1,2013-02-06,3,5681.06,773,1,1,0,0
1,2013-02-07,4,6796.18,770,1,1,0,0
1,2013-02-08,5,8661.33,907,1,1,0,0
1,2013-02-09,6,11033.02,1423,1,1,0,0
1,2013-02-10,7,0.0,0,0,1,0,0
1,2013-02-11,1,6349.48,771,1,0,0,0
1,2013-02-12,2,4859.63,549,1,0,0,0
1,2013-02-13,3,5666.97,771,1,0,0,0
1,2013-02-14,4,6081.42,700,1,0,0,0
1,2013-02-15,5,9300.81,1119,1,0,0,0
1,2013-02-16,6,8895.36,1025,1,0,0,0
1,2013-02-17,7,0.0,0,0,0,0,0
1,2013-02-18,1,9487.64,1079,1,1,0,0
1,2013-02-19,2,6600.83,826,1,1,0,0
1,2013-02-20,3,7004.53,946,1,1,0,0
1,2013-02-21,4,7586.7,1035,1,1,0,0
1,2013-02-22,5,9366.84,1021,1,1,0,0
1,2013-02-23,6,13252.89,1500,1,1,0,0
1,2013-02-24,7,0.0,0,0,1,0,0
1,2013-02-25,1,5143.81,590,1,0,0,0
1,2013-02-26,2,6197.84,773,1,0,0,0
1,2013-02-27,3,0.0,0,0,0,0,0
1,2013-02-28,4,6781.69,809,1,0,0,0
1,2013-03-01,5,7641.82,942,1,0,0,0
1,2013-03-02,6,10911.3,1100,1,0,0,0
1,2013-03-03,7,0.0,0,0,0,0,0
1,2013-03-04,1,11533.89,1423,1,1,0,0
1,2013-03-05,2,8544.08,1078,1,1,0,0
1,2013-03-06,3,8189.19,892,1,1,0,0
1,2013-03-07,4,10478.7,1189,1,1,0,0
1,2013-03-08,5,10991.42,1378,1,1,0,0
1,2013-03-09,6,12073.42,1605,1,1,0,0
1,2013-03-10,7,0.0,0,0,1,0,0
1,2013-03-11,1,9101.04,932,1,0,0,0
1,2013-03-12,2,7953.99,911,1,0,0,0
1,2013-03-13,3,7873.77,963,1,0,0,0
1,2013-03-14,4,8512.33,874,1,0,0,0
1,2013-03-15,5,8101.04,1093,1,0,0,0
1,2013-03-16,6,12383.14,1481,1,0,0,0
1,2013-03-17,7,0.0,0,0,0,0,0
1,2013-03-18,1,12022.17,1578,1,1,0,0
1,2013-03-19,2,10184.69,1244,1,1,0,0
1,2013-03-20,3,8860.29,1010,1,1,0,0
1,2013-03-21,4,9620.9,1067,1,1,0,0
1,2013-03-22,5,10983.31,1403,1,1,0,0
1,2013-03-23,6,11641.78,1414,1,1,0,0
1,2013-03-24,7,0.0,0,0,1,0,0
1,2013-03-25,1,7572.08,888,1,0,0,0
1,2013-03-26,2,8573.28,1056,1,0,0,0
1,2013-03-27,3,8672.81,971,1,0,0,0
1,2013-03-28,4,7917.4,996,1,0,0,0
1,2013-03-29,5,0.0,0,0,0,0,0
1,2013-03-30,6,10805.1,1415,1,0,0,0
1,2013-03-31,7,0.0,0,0,0,b,0
1,2013-04-01,1,14608.29,1389,1,1,b,0
1,2013-04-02,2,9134.62,1104,1,1,0,0
1,2013-04-03,3,8875.83,1014,1,1,0,0
1,2013-04-04,4,9261.26,1161,1,1,0,0
1,2013-04-05,5,14894.13,1946,1,1,b,0
1,2013-04-06,6,19368.95,2398,1,1,b,0
1,2013-04-07,7,0.0,0,0,1,0,0
1,2013-04-08,1,10517.59,1248,1,0,0,0
1,2013-04-09,2,6982.36,684,1,0,0,0
1,2013-04-10,3,7556.38,757,1,0,0,1
1,2013-04-11,4,7962.05,970,1,0,0,1
1,2013-04-12,5,12366.17,1603,1,0,0,1
1,2013-04-13,6,12841.63,1451,1,0,0,1
1,2013-04-14,7,0.0,0,0,0,0,1
1,2013-04-15,1,11806.22,1595,1,1,0,1
1,2013-04-16,2,0.0,0,0,1,0,1
1,2013-04-17,3,10473.43,1300,1,1,0,1
1,2013-04-18,4,11838.29,1372,1,1,0,1
1,2013-04-19,5,12565.64,1478,1,1,0,1
1,2013-04-20,6,18805.61,2232,1,1,b,1
1,2013-04-21,7,0.0,0,0,1,b,1
1,2013-04-22,1,11725.77,1331,1,0,0,1
1,2013-04-23,2,8022.39,848,1,0,0,1
1,2013-04-24,3,9164.85,1290,1,0,0,1
1,2013-04-25,4,8942.26,1174,1,0,0,0
1,2013-04-26,5,10086.49,1180,1,0,0,0
1,2013-04-27,6,11050.69,1331,1,0,0,0
1,2013-04-28,7,0.0,0,0,0,0,0
1,2013-04-29,1,12559.0,1948,1,1,0,0
1,2013-04-30,2,10184.97,1165,1,1,0,0
1,2013-05-01,3,7957.3,908,1,1,a,0
1,2013-05-02,4,8726.24,949,1,1,0,0
1,2013-05-03,5,11853.09,1547,1,1,0,0
1,2013-05-04,6,14866.55,1658,1,1,0,0
1,2013-05-05,7,0.0,0,0,1,0,0
1,2013-05-06,1,10839.96,1224,1,0,0,0
1,2013-05-07,2,9168.77,1000,1,0,0,0
1,2013-05-08,3,8329.88,1048,1,0,0,0
1,2013-05-09,4,7519.13,823,1,0,0,0
1,2013-05-10,5,10169.81,1077,1,0,0,0
1,2013-05-11,6,13332.06,1467,1,0,0,0
1,2013-05-12,7,0.0,0,0,0,0,0
1,2013-05-13,1,11305.73,1494,1,1,0,0
1,2013-05-14,2,11832.23,1313,1,1,0,0
1,2013-05-15,3,8715.17,1022,1,1,0,0
1,2013-05-16,4,9606.22,1097,1,1,0,0
1,2013-05-17,5,12536.58,1880,1,1,0,0
1,2013-05-18,6,13613.97,1541,1,1,0,0
1,2013-05-19,7,0.0,0,0,1,0,0
1,2013-05-20,1,7534.5,938,1,0,0,0
1,2013-05-21,2,7107.77,734,1,0,0,0
1,2013-05-22,3,9125.52,1134,1,0,0,0
1,2013-05-23,4,9810.84,1129,1,0,0,0
1,2013-05-24,5,10373.75,1328,1,0,0,0
1,2013-05-25,6,11319.43,1285,1,0,0,0
1,2013-05-26,7,0.0,0,0,0,0,0
1,2013-05-27,1,10294.31,1225,1,1,0,0
1,2013-05-28,2,9532.32,1215,1,1,0,0
1,2013-05-29,3,10610.43,1246,1,1,0,0
1,2013-05-30,4,11164.71,1217,1,1,0,0
1,2013-05-31,5,14289.85,1714,1,1,0,0
1,2013-06-01,6,13546.96,1665,1,1,0,0
1,2013-06-02,7,0.0,0,0,1,0,0
1,2013-06-03,1,0.0,0,0,0,0,0
1,2013-06-04,2,6036.95,805,1,0,0,0
1,2013-06-05,3,6457.48,729,1,0,0,0
1,2013-06-06,4,7953.05,1079,1,0,0,0
1,2013-06-07,5,8937.94,1100,1,0,0,0
1,2013-06-08,6,10809.74,1255,1,0,0,0
1,2013-06-09,7,0.0,0,0,0,0,0
1,2013-06-10,1,10238.72,1147,1,1,0,0
1,2013-06-11,2,8868.87,1024,1,1,0,0
1,2013-06-12,3,8174.03,916,1,1,0,0
1,2013-06-13,4,8932.18,974,1,1,0,0
1,2013-06-14,5,9158.95,1252,1,1,0,0
1,2013-06-15,6,11218.8,1232,1,1,0,0
1,2013-06-16,7,0.0,0,0,1,0,0
1,2013-06-17,1,8680.5,926,1,0,0,0
1,2013-06-18,2,7600.73,793,1,0,0,0
1,2013-06-19,3,6413.35,799,1,0,0,0
1,2013-06-20,4,6765.35,823,1,0,0,0
1,2013-06-21,5,10637.69,1438,1,0,0,0
1,2013-06-22,6,9032.4,1017,1,0,0,0
1,2013-06-23,7,0.0,0,0,0,0,0
1,2013-06-24,1,8137.4,880,1,1,0,0
1,2013-06-25,2,8507.5,1112,1,1,0,0
1,2013-06-26,3,9012.1,1079,1,1,0,0
1,2013-06-27,4,9421.24,985,1,1,0,0
1,2013-06-28,5,8974.96,959,1,1,0,0
1,2013-06-29,6,13047.51,1481,1,1,0,0
1,2013-06-30,7,0.0,0,0,1,0,0
1,2013-07-01,1,8838.07,878,1,0,0,1
1,2013-07-02,2,7745.25,897,1,0,0,1
1,2013-07-03,3,6407.99,730,1,0,0,1
1,2013-07-04,4,7994.67,1020,1,0,0,1
1,2013-07-05,5,6771.8,890,1,0,0,1
1,2013-07-06,6,9798.94,975,1,0,0,1
1,2013-07-07,7,0.0,0,0,0,0,1
1,2013-07-08,1,9027.8,1028,1,1,0,1
1,2013-07-09,2,8765.84,1013,1,1,0,1
1,2013-07-10,3,8233.22,880,1,1,0,1
1,2013-07-11,4,9062.35,856,1,1,0,1
